comparison,delta,fixture_id,lower_value,metric,upper_value
L1 minus L0,918.4305555555555,final-v1:long_chain_fork:conflicting_sources:business-1,637.9444444444445,tokens_per_decision,1556.375
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.5,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,1.0,propagation_handoffs_per_task,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:intermediate_retraction:business-0,0.0,route_coverage,1.0
L1 minus L0,938.75,final-v1:long_chain_fork:intermediate_retraction:business-0,615.0,tokens_per_decision,1553.75
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-1,0.5,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-1,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-1,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-1,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-1,1.0,propagation_handoffs_per_task,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:intermediate_retraction:business-1,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:intermediate_retraction:business-1,0.0,route_coverage,1.0
L1 minus L0,549.0,final-v1:long_chain_fork:intermediate_retraction:business-1,784.9375,tokens_per_decision,1333.9375
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-0,0.5,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-0,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-0,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-0,1.0,propagation_handoffs_per_task,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-0,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:late_notice:business-0,0.0,route_coverage,1.0
L1 minus L0,1052.6470588235293,final-v1:long_chain_fork:late_notice:business-0,623.4117647058823,tokens_per_decision,1676.0588235294117
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-1,0.5,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-1,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-1,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-1,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:late_notice:business-1,1.0,propagation_handoffs_per_task,1.0
